invariant,canonical_home,authoritative_current_source,wording_that_must_survive,secondary_may_remove,regression_tests,gate_d_check,migration_risk
DLA role/boundary,§1,PB-003 opening + PB-002 partial lines,DLA owns activities/commissions on partial v2 page; EP owns plan; GAM owns bodies/executability; not full-page replay,pack "not a learning-design step" as competing constitution (U-1 authority cleanup only),page-dla-enrich.test.js Copy instructions,DLA does not emit GAM bodies or replan EP,MEDIUM U-1
Mapped LO as input,§2,PB-003 consume LOs; pack consume episode_plans,Consume mapped LOs and episode beats as given; do not replan beat order,pack restating consume-not-replan after §2 exists,dla-38l-obligation-smoke.test.js,beats preserved,LOW
Learner production,§4,PB-003 step 1 first sentences,Define expected_output and learner_task as production obligation,OUTPUT CONTRACT duplicate of same fields,intellectual-coherence-bridge-coverage.test.js,learner_task/expected_output present and substantive,MEDIUM
T-033 LO-operation coverage,§4,PB-003 step 1 T-044 sentences,Completing production must require every load-bearing mapped-LO operation; supporting check must not substitute; if not redesign before materials,pack AS-02/WB if they compete after overlay,ld-dla-evidence-decision-consistency-prompt.test.js (T-033 markers); S76-T-044 Gate A strings,Lagrangian/Roman: production covers LO operations,HIGH
expected_output,§4,PB-003 payload; pack WB-19 30-70w,Quality-threshold expected_output not completion labels,pack WB-19 duplicate after SSOT in §4/scaffold,scaffold tests,quality-threshold prose,LOW
learner_task,§4,PB-003 step 1,learner_task intent required,pack AS-02 extra if still needed as overlay G-gates,s76-dla-p01-p02-p03-contract.test.js,task present,LOW
Activity titles,§4,PB-005 DLA-ACTIVITY-TITLE-2,3–7 words; ≤60; not LO; no IDs; not Activity A1; semantic distinctness,PB-004 nest; pack title bullets; extra title append in applyEpisodePlan,ld-activity-title-contract.test.js,titles valid,MEDIUM consolidation
P01 task→material closure,§5,PB-003 step 2 TMD sentences,If separate inputs required commission those operands and list ids; if false ids empty; teaching may still exist,pack silent OK,s76-dla-p01-p02-p03-contract.test.js; s76-dla-procedural-task-evidence-validation.test.js,TMD object correct,HIGH
P01-R1 operand/workspace/intermediate/prior-product,§5,PB-003 step 2 T-041 sentences,Task input = object/state acted on; workspace ≠ operand; prior-product ≠ new GAM commission; absence test,shape contrast as example only (keep in §11),ld-dla-evidence-decision-consistency-prompt.test.js P01-R1 strings,Lagrangian: system-supplied object vs workspace,HIGH
P01/P02 independence,§5 pointer §7,PB-003 step 2 last sentence + step 4,Listing a task input does not set evidence_decision.required,pack notes duplicate,s76-dla-p01-p02-p03-contract.test.js; s75-dla-evidence-decision-false-positive.test.js,procedural operand required false,HIGH
P03 purpose/specification,§6,PB-003 step 3,Every row non-empty purpose and specification; spec not type token only,pack type lists as overlay extras,s76-dla-p01-p02-p03-contract.test.js,purpose/spec sufficient,HIGH
T-031 pedagogical operating bounds,§6,PB-003 step 3 T-047 sentences,Include method/condition/assumption/boundary/exclusion this operation depends on; this commissioned operation only; omitting must not permit different operation,none currently,ld-dla-evidence-decision-consistency-prompt.test.js T-031 strings,Lagrangian bounds in spec not GAM-solvable DLA rule,HIGH
DLA→GAM commissioning boundary,§6,PB-003 GAM fulfils; forbidden bodies,Do not write materials.body; GAM fulfils,pack LD-MATERIALS-COPY after §6 exists,page-dla-enrich capture validators,no bodies in DLA JSON,MEDIUM
Instructional archetypes,§6,PB-006,When pedagogical job matches Priority-1 emit instructional_archetype + complete archetype_plan; omit otherwise,nested inside full shape JSON,ld-instructional-archetype-production-planning.test.js,archetype_plan keys when selected,MEDIUM
P02 particulars-as-grounds,§7,PB-003 steps 4–5,required means particulars-as-grounds not materials exist; not nouns; not preamble/bridge,pack notes; runner; PB-021,ld-dla-evidence-decision-consistency-prompt.test.js; sprint-72-evidence-centred-activity-slice.test.js,Roman Roads evidence true with providers,HIGH
evidence_decision ownership,§7,PB-003,DLA owns evidence_decision.required on every activity,pack emit reminder,s75-dla-evidence-decision-false-positive.test.js,object present,MEDIUM
provider_material_ids,§7,PB-003 step 5,If true list those task-input rows; if false omit providers,shape JSON,sprint-72 tests,providers ⊆ task inputs,HIGH
evidence_requirement,§8,PB-003 Evidence-provider authoring,Attach evidence_requirement on provider rows when required true,shape nested object,sprint-72 tests,requirement present when required,HIGH
learner_action,§8,PB-003,what the learner must do with the particulars,shape,sprint-72,field present,MEDIUM
observable_features,§8,PB-003,non-empty string array of inspectable particulars,shape,sprint-72,array non-empty,MEDIUM
delayed disclosure,§8,PB-003 pre-task teaching must not analyse focal evidence,shape disclosure_constraint,sprint-72,pre-task does not spoil,HIGH
provenance,§8,PB-003,system_generated_simulation vs conversation_attachment,shape; embed,sprint-72; Roman Roads,conversation_attachment for attached units,HIGH
evidence layout,§8,PB-003 separate_provider vs combined_evidence_workspace,keep teaching/provider/scaffold distinct unless same material has both column sets,shape,sprint-72,layout coherent,MEDIUM
source/attachment behaviour,§3,PB-003 Attachment inventory block,Inspect attachments first; classify; inventory units; do not invent unattached works; Roman Roads conversation_attachment,runner UX; PB-021,sprint-72-dla-evidence-guidance-ux.test.js,Roman Roads uses attached sources,HIGH
body vs commission,§1+§6,PB-003 Explicitly forbidden,no materials[].body,pack LD-MATERIALS-COPY,partial capture validators,no bodies,LOW
Workbook obligations,§9,PB-008 DLA-WB + G1–G5,mandatory rows when workbook_contract_applied; G-gates when functions Required,generic titles/evidence already in core,dla-38l-obligation-smoke.test.js,workbook mix preserved if flags apply (U-2),HIGH U-2
output shape/protocol,§10 + footer,PB-003 envelope + PB-002 fence,partial page envelope artifact_type page schema 2.0.0 assembly_state dla; activities[] DLA fields; forbidden shell,pack Output activities/outcome_alignment/delivery_notes (U-3 retire),workflow-dla-framing-capture-validation-gate.test.js; sprint-56-dla-capture-repair.test.js,valid partial capture,MEDIUM U-3
cognition/bridge copy,§4,PB-003 payload + PB-013 + scaffold,bridge required every activity including A1; cognition SSOT floors,Marx example,intellectual-coherence-bridge-coverage.test.js,bridge on A1+,MEDIUM
Checklist diagnostic spec,§6,PB-003 Verification checklist diagnostic,3–4 criteria max 5; GAM owns learner-facing criterion questions,none,page-dla-enrich checklist tests if any,checklist spec not body,LOW
