id,current_source,injection,chars,live_paths,target,action,invariants,semantic_equivalence,deletion_precondition,tests
DLA-PB-001,lib/workflow-pipeline-execution-directive.js via app.js getPipelineExecutionOpeningDirective,Copy wrapper start,shared,Copy,PATH WRAPPER,KEEP,autonomous run,unchanged wrapper,none,pipeline directive tests
DLA-PB-002,app.js buildWorkflowStepInstructions DLA branch,Copy wrapper after opening,~0.5k,Copy,PATH WRAPPER + PATH FOOTER,RETAINED AS WRAPPER,partial mode; fence/footer,move semantic DLA identity to §1; keep fence/footer here,none until footer still once,page-dla-enrich.test.js Copy instructions
DLA-PB-003,lib/ld-dla-page-enrich-contract.js buildDlaPageEnrichContractBlock,Copy prepend buildDlaV2CopilotSchemaInstructions AND Studio/Copy augment applyEpisodePlanDlaPopulationPromptBlockToDraft,12174,Copy x2 Studio x1,§1–§8 + §10 (split),MOVE then RETIRE AFTER SWITCH as monolith,role; sources; T-033; P01; P01-R1; P03; T-031; P02; providers; forbidden; titles nested,split into section builders without semantic deletion,Gate A invariant markers + Gate B suites green,ld-dla-evidence-decision-consistency-prompt.test.js; sprint-72-evidence-centred-activity-slice.test.js; s76 prompt tests
DLA-PB-004,lib/ld-dla-page-enrich-contract.js buildCanonicalDlaPageShapeSnippet,same dual sites as PB-003,6698,Copy x2 Studio x1,§6 lists; §10 field names; §11 miniature,REDUCE + MOVE,TMD illustration; evidence_requirement shape; forbidden; nested titles+archetypes,shape ceases to be second contract,§10 field names + §11 miniature exist; archetype lists in §6,ld-instructional-archetype-production-planning.test.js; ld-dla-evidence-decision-consistency-prompt.test.js
DLA-PB-005,lib/ld-activity-title-contract.js buildDlaActivityTitleGuidance,nested in PB-003 and PB-004 x2 injections = x4,925,Copy x4 Studio x2,§4 once,CONSOLIDATE KEEP,activity titles,single include of buildDlaActivityTitleGuidance in §4,other three nests gone after switch,ld-activity-title-contract.test.js; page-dla-enrich.js validators
DLA-PB-006,lib/ld-dla-page-enrich-contract.js buildInstructionalArchetypePlanningGuidance,nested in PB-004 only,3282,Copy x2 Studio x1,§6,MOVE KEEP,instructional archetypes,lists stay complete; not duplicated inside JSON blob,not inside §11 full JSON,ld-instructional-archetype-production-planning.test.js
DLA-PB-007,pack runnerInstructions via app.js getRunnerInstructionsForStep,Copy runner,652,Copy,PATH WRAPPER local reminder + §3/§7 one-liners,REDUCE,P02; sources UX,what_to_expect upload UX stays Copy-only; what_to_check one line,none,sprint-72-dla-evidence-guidance-ux.test.js
DLA-PB-008,domains/learning-design/domain-learning-design-step-patterns.md DLA promptTemplate,resolveStepPromptText core,14279,Copy+Studio,§2 consume-beats; §9 overlay; retire dialect to §10,CONSOLIDATE + GATE + REDUCE,workbook; U-1/U-2/U-3; generic P01–T-033 overlap,see pack ledger in plan §7,generics moved to canonical; overlay gated; Output dialect gone,dla-38l-obligation-smoke.test.js; workbook-related pack tests
DLA-PB-009,same pack defaultPromptNotes,runner fallback / notes,1290,Copy 0-1,§9 notes or RETIRE if duplicate of overlay,CONSOLIDATE,titles; evidence; WB coexist,must not restate P02/T-033 after overlay exists,notes no longer independent authority,pack parse tests
DLA-PB-010,lib/ld-guided-learning-scaffold.js,applyLdGuidedLearningScaffoldContractToDraft,live ~4k,learner-page Copy+Studio,§4 slot fill,GATE,cognition/bridge/preamble floors,SSOT floors fill §4; not a second commissioning order,marker still unique,intellectual-coherence-bridge-coverage.test.js; scaffold tests
DLA-PB-011,lib/educational-quality-framework-prompt.js,applyEducationalQualityFrameworkPromptBlockToDraft,live,learner-page,§4 or §6 quality overlay slot,GATE,EQF judgement quality,implementation detail overlay not new P01,no extra top-level heading authority,EQF DLA tests if present
DLA-PB-012,app.js buildSelfDirectedTimelineSequencingAlignmentPromptBlock,applySelfDirectedLearnerPageStepScaffoldsToDraft,live,self-directed,§4 sequencing reminder,GATE,unordered list vs sequence,local reminder in production section,does not append after §11,self-directed scaffold tests
DLA-PB-013,app.js buildLearnerPageDlaOutputContractOverrideBlock,same scaffolds,live,learner-page,§4 copy fields + §10 names,CONSOLIDATE,preamble/bridge/cognition required,field names stay; semantics already in §4,OUTPUT CONTRACT heading not a second constitution,intellectual-coherence-bridge-coverage.test.js
DLA-PB-014,app.js buildSelfDirectedLearnerPageDlaOutputContractExampleBlock Marx JSON,same scaffolds,live,learner-page,§11,REPLACE,none new (D5 dialect),must not remain; replacement after §11 skeleton exists,Marx gone; dialect-aligned miniature present,none until replacement; then architecture tests
DLA-PB-015,app.js LEARNER_PAGE_DLA_ACTIVITIES_SCHEMA_OUTPUT_LINE,augmentSelfDirectedDlaDraftOutputSection,live,learner-page,§10,CONSOLIDATE KEEP FIELD NAME,activities[] field names including TMD,one schema line in §10,pack Output rewrite retired,page-dla-enrich.test.js schema line
DLA-PB-016,lib/ld-table-fidelity.js role dla,applyLdTableFidelityContractToDraft,live gated,DLA when table-shape gate,§6 slot,GATE,table specification intent,DLA specifies columns; GAM authors,GOOD example stays DLA-spec not GAM body,ld-table-fidelity tests
DLA-PB-017,lib/ld-math-render.js,applyMathSafeOutputContractToDraft,live,DLA producer,§10 notation,GATE,TeX delimiters,output protocol not pedagogy,none,math-render tests
DLA-PB-018,lib/workflow-artefact-json-strict.js,Copy wrapper after core,shared,Copy,PATH FOOTER,RETAINED AS WRAPPER,fence/strict JSON,once; not inside §10 twice,none,strict json tests
DLA-PB-019,app.js getPipelineExecutionCompletionDirective,Copy end,shared,Copy,PATH FOOTER,KEEP,stop after footer,unchanged,none,pipeline tests
DLA-PB-020,lib/episode-plan-dla-integration.js buildDlaPopulationOnlyPromptBlock,applyEpisodePlan when pageEnrichmentV2 false,1970,legacy v2-off,DEAD / NO MIGRATION into canonical v2,KEEP legacy path only,38S-3 population,out of v2 canonical contract,do not delete file; v2 flag remains default,episode-plan-dla-integration.test.js
DLA-PB-021,app.js buildUpstreamPageShellEmbedSectionForDlaCopy,Copy when NOT partial,large,non-partial v2,DEAD on current default partial; KEEP gated,GATE,sources+evidence restatement if non-partial,must not become second v2 constitution; if non-partial kept later map to wrapper+§3,partial mode default,page-dla-enrich enrich-in-place tests
DLA-PB-022,app.js buildSelfDirectedLearnerPageMaterialShapePromptBlock,gated scaffold,0 Marx,conditional,§6 material shape slot,GATE,material_type vs body,fills §6,gated off when unused,material-shape tests
DLA-PB-023,app.js buildPedagogicCognitionContractPromptBlock,gated cognition,0 Marx,conditional,§4 slot,GATE,cognition contract,fills §4,gated,cognition tests
DLA-PB-024,app.js PEL orientation/reasoning,gated Sprint 30,0 Marx,conditional,§4 slot,GATE,PEL,fills §4,gated,PEL tests
DLA-PB-025,app.js applyLdMaterialsCopyContractToDraft,augmentation chain,0 DLA (GAM-only),none on DLA,n/a,DEAD / NO MIGRATION,GAM bodies,isGam early return,do not change GAM,GAM materials-copy tests
DLA-PB-026,app.js applyLdGamInstructionalDepthContractToDraft,chain,0 DLA,none on DLA,n/a,DEAD / NO MIGRATION,GAM depth,GAM-only,leave,GAM depth tests
DLA-PB-027,app.js applyLdInstructionalArchetypeRoutingToDraft,chain,0 DLA (GAM),none on DLA,n/a,DEAD / NO MIGRATION,GAM routing,GAM-only; DLA planning stays PB-006→§6,leave,ld-instructional-archetype-gam-copy-context.test.js
DLA-PB-028,app.js applyInstructionalPatternPromptBlockToDraft and Design Page / visual / thin-assembly / pedagogic enrichment,chain,typically 0 DLA,verify,n/a unless live,VERIFY ONLY then GATE or DEAD,shared LD,T-010 Marx dump did not include; confirm with reconstructor at implement,if live map into named slot not new authority,_t010-reconstruct-dla-prompt.js
DLA-PB-029,app.js applyEpisodePlanDlaPopulationPromptBlockToDraft v2 branch,second inject,18873 pair,Copy (Studio first/only pair),ASSEMBLER once,REMOVED as second authority (P05),all PB-003/004,skip-regex fails because augmentations run on pack body not full Copy,canonical inject once + heading present OR inject-skip always,page-dla-enrich.test.js dual-inject count RETIRE
DLA-PB-030,app.js buildDlaV2CopilotSchemaInstructions,Copy prepend pair,18873,Copy,REPLACED by assembleDlaCanonicalContract,REPLACED,all canonical,function becomes thin call to assembler,legacy pair builder kept until Phase D,page-dla-enrich.test.js
